movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
American Gangster,R,266465037,11/2/07 0:00,160,100000000,130164645
An American Haunting,PG-13,29612137,5/5/06 0:00,90,14000000,16298046
American History X,R,23875127,10/30/98 0:00,127,20000000,6719864
American Hustle,R,251171807,12/13/13 0:00,138,40000000,150117807
American Pie,R,235483004,7/9/99 0:00,95,11000000,102561004
American Pie 2,R,287553595,8/10/01 0:00,104,30000000,145103595
American Psycho,R,34266564,4/14/00 0:00,104,7000000,15070285
American Reunion,R,234989584,4/6/12 0:00,113,50000000,57011521
American Sniper,R,547426372,12/25/14 0:00,132,58800000,350126372
American Ultra,R,27139524,8/21/15 0:00,96,28000000,14440985
American Wedding,R,231449203,8/1/03 0:00,102,55000000,104565114
An American Werewolf in Paris,R,N/A,12/25/97 0:00,98,25000000,26570463
Amigo,Unrated,N/A,8/19/11 0:00,127,1500000,184705
Amistad,R,N/A,12/10/97 0:00,152,36000000,44229441
The Amityville Horror (2005),R,108047131,4/15/05 0:00,89,19000000,65233369
Amongst Friends,R,N/A,7/23/93 0:00,88,1000000,265000
Amour,PG-13,19839492,12/19/12 0:00,125,8900000,6739492
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
Anacondas: The Hunt for the Blood Orchid,PG-13,70992898,8/27/04 0:00,93,20000000,32238923
Analyze That,R,55003135,12/6/02 0:00,100,60000000,32130627
Analyze This,R,176885658,3/5/99 0:00,103,80000000,106885658
Anchorman 2: The Legend Continues,PG-13,173649015,12/18/13 0:00,119,50000000,125168368
Anchorman: The Legend of Ron Burgundy,PG-13,90574188,7/9/04 0:00,91,26000000,85288303
Angel Eyes,R,29715606,5/18/01 0:00,102,53000000,24174218
Angel Heart,R,N/A,3/6/87 0:00,113,17000000,17185632
Angela's Ashes,R,N/A,12/25/99 0:00,145,50000000,13042112
Angels & Demons,PG-13,485930816,5/15/09 0:00,140,150000000,133375846
Anger Management,PG-13,195745823,4/11/03 0:00,101,75000000,135645823
The Animal,PG-13,84772742,6/1/01 0:00,83,47000000,57743062
Anna and the King,PG-13,113996937,12/17/99 0:00,148,92000000,39263420
Annabelle,R,256873813,10/3/14 0:00,95,6500000,84273813
Annie (2014),PG,133821816,12/19/14 0:00,118,65000000,85911262
Annie Hall,PG,N/A,4/20/77 0:00,93,4000000,38251425
Anomalisa,R,3759286,12/30/15 0:00,90,8000000,3759286
