movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
American Pie 2,R,287553595,2001-08-10 00:00:00,104,30000000,145103595
American Psycho,R,34266564,2000-04-14 00:00:00,104,7000000,15070285
American Reunion,R,234989584,2012-04-06 00:00:00,113,50000000,57011521
American Sniper,R,547426372,2014-12-25 00:00:00,132,58800000,350126372
American Ultra,R,27139524,2015-08-21 00:00:00,96,28000000,14440985
American Wedding,R,231449203,2003-08-01 00:00:00,102,55000000,104565114
An American Werewolf in Paris,R,N/A,1997-12-25 00:00:00,98,25000000,26570463
Amigo,Unrated,N/A,2011-08-19 00:00:00,127,1500000,184705
Amistad,R,N/A,1997-12-10 00:00:00,152,36000000,44229441
The Amityville Horror (2005),R,108047131,2005-04-15 00:00:00,89,19000000,65233369
Amongst Friends,R,N/A,1993-07-23 00:00:00,88,1000000,265000
Amour,PG-13,19839492,2012-12-19 00:00:00,125,8900000,6739492
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Anacondas: The Hunt for the Blood Orchid,PG-13,70992898,2004-08-27 00:00:00,93,20000000,32238923
Analyze That,R,55003135,2002-12-06 00:00:00,100,60000000,32130627
Analyze This,R,176885658,1999-03-05 00:00:00,103,80000000,106885658
Anchorman 2: The Legend Continues,PG-13,173649015,2013-12-18 00:00:00,119,50000000,125168368
Anchorman: The Legend of Ron Burgundy,PG-13,90574188,2004-07-09 00:00:00,91,26000000,85288303
Angel Eyes,R,29715606,2001-05-18 00:00:00,102,53000000,24174218
Angel Heart,R,N/A,1987-03-06 00:00:00,113,17000000,17185632
Angela's Ashes,R,N/A,1999-12-25 00:00:00,145,50000000,13042112
Angels & Demons,PG-13,485930816,2009-05-15 00:00:00,140,150000000,133375846
Anger Management,PG-13,195745823,2003-04-11 00:00:00,101,75000000,135645823
The Animal,PG-13,84772742,2001-06-01 00:00:00,83,47000000,57743062
Anna and the King,PG-13,113996937,1999-12-17 00:00:00,148,92000000,39263420
Annabelle,R,256873813,2014-10-03 00:00:00,95,6500000,84273813
Annie (2014),PG,133821816,2014-12-19 00:00:00,118,65000000,85911262
Annie Hall,PG,N/A,1977-04-20 00:00:00,93,4000000,38251425
Anomalisa,R,3759286,2015-12-30 00:00:00,90,8000000,3759286
Anonymous,PG-13,15395087,2011-10-28 00:00:00,130,30000000,4463292
Another Year,PG-13,19722766,2010-12-29 00:00:00,129,8000000,3205706
Another You,R,N/A,1991-07-26 00:00:00,94,17000000,2865916
The Ant Bully,PG,55181129,2006-07-28 00:00:00,82,50000000,28142535
Ant-Man,PG-13,519250779,2015-07-17 00:00:00,117,130000000,180202163
Antwone Fisher,PG-13,23367586,2002-12-19 00:00:00,120,12500000,21078145
Antz,PG,171757863,1998-10-02 00:00:00,84,105000000,90757863
Any Given Sunday,R,100230832,1999-12-22 00:00:00,157,55000000,75530832
Anything Else,R,13585075,2003-09-19 00:00:00,108,18000000,3212310
Anywhere But Here,PG-13,23631929,1999-11-12 00:00:00,114,23000000,18670401
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Apocalypto,R,120654337,2006-12-08 00:00:00,138,40000000,50866635
Apollo 18,PG-13,25562924,2011-09-02 00:00:00,86,5000000,17687709
Appaloosa,R,27665851,2008-09-19 00:00:00,108,20000000,20211394
The Apparition,PG-13,9627492,2012-08-24 00:00:00,82,17000000,4936819
Aqua Teen Hunger Force Colon Movie Film for Theaters,R,N/A,2007-04-13 00:00:00,87,750000,5520368
Aquamarine,PG,23006849,2006-03-03 00:00:00,109,12000000,18597342
Arabian Knight,G,N/A,1995-08-25 00:00:00,71,25000000,669276
Ararat,R,2743336,2002-11-15 00:00:00,126,15500000,1555959
Are We There Yet?,PG,97918663,2005-01-21 00:00:00,94,32000000,82674398
Argo,R,232325503,2012-10-12 00:00:00,120,44500000,136025503
Arlington Road,R,41067311,1999-07-09 00:00:00,119,31000000,24756177
Armageddon,PG-13,553709788,1998-07-01 00:00:00,144,140000000,201578182
Armored,PG-13,22942221,2009-12-04 00:00:00,88,20000000,15988876
Around the World in 80 Days,G,N/A,1956-10-17 00:00:00,188,6000000,42000000
Around the World in 80 Days,PG,72178895,2004-06-16 00:00:00,120,110000000,24008137
Art of Submission,PG-13,N/A,2012-09-21 00:00:00,119,4500000,9004
The Art of War,R,40400425,2000-08-25 00:00:00,117,60000000,30208599
Arthur (2011),PG-13,45735397,2011-04-08 00:00:00,110,40000000,33035397
Arthur and the Invisibles,PG,107944236,2006-12-29 00:00:00,103,86000000,15132763
The Artist,PG-13,133432856,2011-11-25 00:00:00,100,15000000,44671682
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
As Good as It Gets,PG-13,314178011,1997-12-23 00:00:00,139,50000000,148478011
